"noun","cxn","event_type","PhoneSyll","NumPhones","SumSylls","PhonVCV","InitialPhoneme","InitialSyll","SonorityScale","SonorityScaleRank","SonoritySimpleRank","SonoritySimple"
"soggezione","mettere_LVC","causative","sog.gez.zjo.ne",11,4,"CVGGVGGCVCV","s","CVG","fricative",5,3,"obstruent"
"sollazzo","conversion_caus","causative","sol.laz.zo",8,3,"CVGGVGGV","s","CVG","fricative",5,3,"obstruent"
"sollazzo","conversion_si_stat","stative","sol.laz.zo",8,3,"CVGGVGGV","s","CVG","fricative",5,3,"obstruent"
"stizza","conversion_caus","causative","stiz.za",6,2,"CCVGGV","s","CCVG","fricative",5,3,"obstruent"
"stizza","conversion_si","inchoative","stiz.za",6,2,"CCVGGV","s","CCVG","fricative",5,3,"obstruent"
"strazio","conversion_caus","causative","straz.zjo",8,2,"CCCVGGCV","s","CCCVG","fricative",5,3,"obstruent"
"strazio","conversion_si_stat","stative","straz.zjo",8,2,"CCCVGGCV","s","CCCVG","fricative",5,3,"obstruent"
"stupore","provare_LVC","stative","stu.po.re",7,3,"CCVCVCV","s","CCV","fricative",5,3,"obstruent"
"stupore","fare_LVC","causative","stu.po.re",7,3,"CCVCVCV","s","CCV","fricative",5,3,"obstruent"
"terrore","provare_LVC","stative","ter.ro.re",7,3,"CVGGVCV","t","CVG","plosive",7,3,"obstruent"
"terrore","fare_LVC","causative","ter.ro.re",7,3,"CVGGVCV","t","CVG","plosive",7,3,"obstruent"
"terrore","mettere_LVC","causative","ter.ro.re",7,3,"CVGGVCV","t","CVG","plosive",7,3,"obstruent"
"terrore","avere_LVC","stative","ter.ro.re",7,3,"CVGGVCV","t","CVG","plosive",7,3,"obstruent"
"terrore","suffixation_caus","causative","ter.ro.re",7,3,"CVGGVCV","t","CVG","plosive",7,3,"obstruent"
"timore","avere_LVC","stative","ti.mo.re",6,3,"CVCVCV","t","CV","plosive",7,3,"obstruent"
"timore","sentire_LVC","stative","ti.mo.re",6,3,"CVCVCV","t","CV","plosive",7,3,"obstruent"
"timore","fare_LVC","causative","ti.mo.re",6,3,"CVCVCV","t","CV","plosive",7,3,"obstruent"
"timore","provare_LVC","stative","ti.mo.re",6,3,"CVCVCV","t","CV","plosive",7,3,"obstruent"
"timore","parasynthesis_si","inchoative","ti.mo.re",6,3,"CVCVCV","t","CV","plosive",7,3,"obstruent"
"timore","dare_LVC","causative","ti.mo.re",6,3,"CVCVCV","t","CV","plosive",7,3,"obstruent"
"timore","parasynthesis_caus","causative","ti.mo.re",6,3,"CVCVCV","t","CV","plosive",7,3,"obstruent"
"tormento","conversion_si_stat","stative","tor.men.to",8,3,"CVCCVCCV","t","CVC","plosive",7,3,"obstruent"
"tormento","conversion_caus","causative","tor.men.to",8,3,"CVCCVCCV","t","CVC","plosive",7,3,"obstruent"
"tormento","dare_LVC","causative","tor.men.to",8,3,"CVCCVCCV","t","CVC","plosive",7,3,"obstruent"
"vergogna","mettere_LVC","causative","ver.GoN.Na",8,3,"CVCCVGGV","v","CVC","fricative",5,3,"obstruent"
"vergogna","avere_LVC","stative","ver.GoN.Na",8,3,"CVCCVGGV","v","CVC","fricative",5,3,"obstruent"
"vergogna","dare_LVC","causative","ver.GoN.Na",8,3,"CVCCVGGV","v","CVC","fricative",5,3,"obstruent"
"vergogna","conversion_si_stat","stative","ver.GoN.Na",8,3,"CVCCVGGV","v","CVC","fricative",5,3,"obstruent"
"vergogna","provare_LVC","stative","ver.GoN.Na",8,3,"CVCCVGGV","v","CVC","fricative",5,3,"obstruent"
"vergogna","fare_LVC","causative","ver.GoN.Na",8,3,"CVCCVGGV","v","CVC","fricative",5,3,"obstruent"
"vergogna","conversion_si","inchoative","ver.GoN.Na",8,3,"CVCCVGGV","v","CVC","fricative",5,3,"obstruent"
"vergogna","sentire_LVC","stative","ver.GoN.Na",8,3,"CVCCVGGV","v","CVC","fricative",5,3,"obstruent"
